age,alive,male,height,weight
63,1,1,151.76,47.826
63,1,0,139.7,36.486
65,1,0,136.53,31.865
41,1,1,156.84,53.042
51,1,0,145.41,41.277
35,1,1,163.83,62.993
32,1,0,149.22,38.243
27,1,1,168.91,55.48
54,1,1,165.1,54.488
47,1,0,154.31,49.895
66,1,1,151.13,41.22
73,1,0,144.78,36.032
65.3,0,0,150.5,33.849
36,1,1,163.19,48.563
44,1,1,157.48,42.326
31,1,0,143.94,38.357
39,1,1,161.29,48.988
29,1,0,156.21,42.723
56,1,1,146.4,35.494
45,1,0,148.59,37.903
29,1,1,147.96,40.313
30,1,1,161.93,55.111
24,1,0,146.05,37.506
35,1,0,146.05,38.499
33,1,0,152.7,46.607
27,1,0,142.88,38.839
32,1,0,142.88,35.579
36,1,0,147.96,47.4
24,1,1,160.66,47.882
30,1,1,151.76,49.413
24,1,1,162.86,49.385
52,1,1,171.45,56.557
42,1,0,147.32,39.122
55,1,1,154.31,41.249
43,1,0,143.51,38.555
42,1,1,165.74,58.598
44,1,0,152.4,46.72
60,1,0,141.6,44.225
37,1,0,155.57,54.318
50,1,1,164.47,45.898
50,1,0,151.76,48.024
31,1,1,161.29,52.22
25,1,0,154.31,47.627
23,1,0,145.41,45.643
52,1,0,145.41,42.411
79.3,0,1,152.4,36.486
35,1,1,163.83,55.934
27,1,0,144.15,37.195
38,1,1,153.67,48.308
39,1,0,142.88,37.336
30,1,1,167,47.174
24,1,0,158.42,47.287
51,1,1,165.74,57.549
46,1,0,149.86,37.932
22,1,0,154.94,47.202
29,1,1,160.96,43.205
38,1,1,161.93,50.264
30,1,0,147.96,39.377
45,1,1,159.38,50.689
47,1,0,148.59,39.434
79,1,0,136.53,36.287
45,1,1,158.12,46.266
54,1,0,144.78,42.269
31,1,1,156.84,47.627
23,1,1,179.07,55.707
41,1,1,170.18,48.563
23,1,0,146.05,42.808
36,1,0,147.32,35.068
30,1,0,162.56,56.756
34,1,0,152.4,51.256
44,1,1,160.02,47.23
43,1,0,149.86,40.937
73.3,0,0,142.88,32.715
38,1,1,167,57.068
43,1,1,159.38,42.978
33,1,0,154.94,39.944
35,1,1,162.56,45.955
29,1,0,152.4,41.107
58,1,1,170.18,47.599
53,1,0,146.05,37.506
51,1,1,159.38,45.019
48,1,0,151.13,42.269
29,1,1,160.66,54.856
41,1,1,169.54,53.524
81.75,0,1,158.75,52.191
35,1,0,149.86,42.411
46,1,0,153.03,49.583
29,1,1,161.93,41.73
42,1,1,162.56,56.019
27,1,0,149.22,42.156
22,1,1,163.19,53.099
43,1,1,161.93,50.235
53,1,0,145.41,42.524
43,1,1,163.19,49.101
41,1,0,151.13,38.499
50,1,0,150.5,49.81
33,1,1,170.81,59.761
62,1,1,157.48,47.939
49,1,0,152.4,39.292
22,1,0,147.32,36.883
29,1,0,145.41,42.127
33,1,1,157.48,44.565
34,1,0,154.31,47.854
42,1,1,167,55.196
40,1,0,142.88,32.999
27,1,0,152.4,40.88
25,1,1,160,51.2
29,1,1,159.38,49.045
45,1,0,149.86,53.439
26,1,1,160.66,54.091
45,1,1,160.66,55.367
45,1,0,149.22,42.241
85.6,0,0,140.97,40.937
26,1,1,154.94,49.697
24,1,0,141.6,44.339
57,1,1,160.02,45.955
22,1,0,150.16,41.957
24,1,0,155.57,51.483
21,1,0,156.21,44.112
